query,no,token,pos
전주 여행,1,호텔,NNG
전주 여행,1,추천,NNP
전주 여행,1,신라,NNP
전주 여행,1,스테이,NNG
전주 여행,1,조식,NNG
전주 여행,1,위치,NNG
전주 여행,1,맛집,NNG
전주 여행,1,처음,NNG
전주 여행,1,엄마,NNG
전주 여행,1,위해,VV+EC
전주 여행,1,맛집,NNG
전주 여행,1,부터,JX
전주 여행,1,호텔,NNG
전주 여행,1,까지,JX
전주 여행,1,꼼꼼,XR
전주 여행,1,준비,NNG
전주 여행,1,는데요,EF
전주 여행,1,저희,NP
전주 여행,1,여러분,NP
전주 여행,1,계획,NNG
전주 여행,1,도움,NNG
전주 여행,1,바랍니다,VV+EF
전주 여행,1,호텔,NNG
전주 여행,1,위치,NNG
전주 여행,1,즐거움,NNG
전주 여행,1,만드,VV
전주 여행,1,바로,MAG
전주 여행,2,가성,NNG
전주 여행,2,비호,NNG
전주 여행,2,아기,NNG
전주 여행,2,숙소,NNG
전주 여행,2,로스터,NNG
전주 여행,2,호텔,NNG
전주 여행,2,이번,NNG
전주 여행,2,결혼기념일,NNG
전주 여행,2,지나간,VV+ETM
전주 여행,2,아쉬워,VA+EC
전주 여행,2,떠났,VV+EP
전주 여행,2,당일,NNG
전주 여행,2,라기,ETN
전주 여행,2,애매,XR
전주 여행,2,지만,EC
전주 여행,2,도착,NNG
전주 여행,2,거의,MAG
전주 여행,2,당일,NNG
전주 여행,2,랄까,EF
전주 여행,2,그래서,MAJ
전주 여행,2,자기,NP
전주 여행,2,호텔,NNG
전주 여행,2,전주호,NNP
전주 여행,2,로스터,NNG
전주 여행,2,호텔,NNG
전주 여행,2,새벽,NNG
전주 여행,3,향교,NNG
전주 여행,3,한옥,NNG
전주 여행,3,마을,NNG
전주 여행,3,카페,NNG
전주 여행,3,차경,NNG
전주 여행,3,수목원,NNG
전주 여행,3,전북,NNP
전주 여행,3,이번,NNG
전주 여행,3,작년,NNG
전주 여행,3,잠깐,MAG
전주 여행,3,들른,VV+ETM
전주 여행,3,후각,NNG
전주 여행,3,예민,XR
전주 여행,3,면서,EC
전주 여행,3,특히,MAG
전주 여행,3,중시,NNG
전주 여행,3,어서,EC
전주 여행,3,인지,VCP+EC
전주 여행,3,그랬,VV+EP
전주 여행,3,는지,EC
전주 여행,3,반영,NNG
전주 여행,3,예술,NNG
전주 여행,3,여기,NP
전주 여행,4,가족,NNG
전주 여행,4,숙소,NNG
전주 여행,4,한옥,NNG
전주 여행,4,마을,NNG
전주 여행,4,둘러보,VV
전주 여행,4,지금,MAG
전주 여행,4,어딜,NP+JKO
전주 여행,4,해서,VV+EC
전주 여행,4,숙소,NNG
전주 여행,4,진안,NNG
전주 여행,4,다음,NNG
전주 여행,4,에서,JKB
전주 여행,4,계속,NNG
전주 여행,4,할게요,XSV+EC
전주 여행,4,가족,NNG
전주 여행,4,남부,NNG
전주 여행,4,시장,NNG
전주 여행,4,남부,NNG
전주 여행,4,시장,NNG
전주 여행,4,시장,NNG
전주 여행,4,한옥마을,NNP
전주 여행,4,경기전,NNG
전주 여행,4,풍남문,NNG
전주 여행,4,전동성당,NNP
전주 여행,5,덕진,NNP
전주 여행,5,공원,NNG
전주 여행,5,단풍,NNG
전주 여행,5,연화,NNG
전주 여행,5,도서관,NNG
전주 여행,5,덕진,NNP
전주 여행,5,공원,NNG
전주 여행,5,많이,MAG
전주 여행,5,왔었,VV+EP
전주 여행,5,는데,EC
전주 여행,5,덕진,NNP
전주 여행,5,공원,NNG
전주 여행,5,처음,NNG
전주 여행,5,라니,EC
전주 여행,5,단풍,NNG
전주 여행,5,명소,NNG
전주 여행,5,깨끗,XR
전주 여행,5,화장실,NNG
전주 여행,5,곳곳,NNG
전주 여행,5,포토,NNG
전주 여행,5,라서,EC
전주 여행,5,예쁜,VA+ETM
전주 여행,5,사진,NNG
전주 여행,5,남기,VV
전주 여행,5,에서,JKB
전주 여행,5,사진,NNG
전주 여행,6,수제,NNG
전주 여행,6,외국인,NNG
전주 여행,6,위한,VV+ETM
전주 여행,6,한옥마을,NNP
전주 여행,6,체험,NNG
전주 여행,6,수제,NNG
전주 여행,6,한옥마을,NNP
전주 여행,6,체험,NNG
전주 여행,6,위해서,VV+EC
전주 여행,6,신청,NNG
전주 여행,6,수제,NNG
전주 여행,6,도장,NNG
전주 여행,6,만들,VV
전주 여행,6,수제,NNG
전주 여행,6,에서,JKB
전주 여행,6,을까,EC
전주 여행,6,고민,NNG
전주 여행,6,다가,EC
전주 여행,6,광주,NNP
전주 여행,6,에서,JKB
전주 여행,6,주로,MAG
전주 여행,6,고고고,NNP
전주 여행,6,광주,NNP
전주 여행,6,에서,JKB
전주 여행,6,고속버스,NNG
전주 여행,6,대전,NNG
전주 여행,6,다시,MAG
전주 여행,6,내려가,VV
전주 여행,7,호텔,NNG
전주 여행,7,신라,NNP
전주 여행,7,스테이,NNG
전주 여행,7,코스,NNG
전주 여행,7,추천,NNG
전주 여행,7,먹거리,NNG
전주 여행,7,다양,XR
전주 여행,7,미식,NNG
전주 여행,7,즐기,VV
전주 여행,7,습니다,EF
전주 여행,7,한옥마을,NNP
전주 여행,7,고즈넉,XR
전주 여행,7,풍경,NNG
전주 여행,7,함께,MAG
전주 여행,7,코스,NNG
전주 여행,7,면서,EC
전주 여행,7,맛집,NNG
전주 여행,7,탐방,NNG
전주 여행,7,중점,NNG
전주 여행,7,습니다,EF
전주 여행,7,모자라,VV
전주 여행,7,더군요,EC
전주 여행,7,유명,NNG
전주 여행,7,맛집,NNG
전주 여행,7,칼국수,NNG
전주 여행,8,아기,NNG
전주 여행,8,빠르,VA
전주 여행,8,리뷰,NNP
전주 여행,8,른들,UNKNOWN
전주 여행,8,커피,NNG
